"method","dataset","selection","group","instance","auc","bedroc_20","ef_0.05","ef_0.01","ef_0.005"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","001","0.9282653061224221","0.8454202240907699","17.0","78.72","137.76"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","002","0.9672755102040757","0.8334449717740191","17.0","78.72","157.44"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","003","0.8918673469387493","0.8014079918967644","17.0","73.8","137.76"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","004","0.9436836734693652","0.8688227821931414","17.0","83.64","137.76"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","005","0.9269489795918144","0.7293721116786552","15.0","54.120000000000005","98.4"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","006","0.943785714285695","0.869543428417544","18.0","83.64","147.6"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","007","0.9438265306122265","0.8483609814470335","17.0","78.72","147.6"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","008","0.9408469387754883","0.8309521505110575","16.0","78.72","157.44"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","009","0.9619285714285564","0.8610002680530234","18.0","73.8","137.76"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","010","0.9598367346938589","0.906431423660443","19.0","78.72","127.92"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","001","0.9945612244897954","0.945920258230874","19.0","88.56","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","002","0.9833367346938713","0.9277411434268666","19.0","88.56","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","003","0.9945816326530613","0.9313869993388944","18.0","88.56","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","004","0.9960510204081635","0.9515951084308386","19.0","88.56","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","005","0.9981632653061225","0.9729152229158124","20.0","93.47999999999999","177.12"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","006","0.9984591836734694","0.9722039899835109","20.0","88.56","147.6"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","007","0.9992959183673469","0.9866638022900717","20.0","98.4","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","008","0.9903163265306115","0.9088516222977421","18.0","83.64","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","009","0.9979795918367347","0.9644311403208078","20.0","88.56","167.28"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","010","0.9910306122448952","0.9488885778944344","19.0","93.47999999999999","177.12"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","001","0.9865204081632639","0.8626808160474986","18.0","73.8","137.76"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","002","0.9471326530612125","0.7414132960296471","15.0","63.96","98.4"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","003","0.9454693877550857","0.7970234809944339","16.0","63.96","127.92"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","004","0.9426224489795764","0.7644536101707283","18.0","59.04","108.24000000000001"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","005","0.919653061224483","0.7252938881763129","16.0","54.120000000000005","108.24000000000001"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","006","0.9002551020408004","0.7181453169234822","15.0","54.120000000000005","108.24000000000001"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","007","0.9675510204081565","0.8622493705142539","18.0","73.8","147.6"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","008","0.99273469387755","0.9302889558039957","19.0","88.56","157.44"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","009","0.979744897959182","0.7899590383695774","16.0","63.96","118.08"
"method_rdkit_ap_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","010","0.9316938775509975","0.8131344337454901","17.0","68.88","137.76"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","001","0.8183061224489346","0.6466942774980609","13.0","59.04","118.08"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","002","0.7764897959183198","0.4917945715142951","10.0","34.44","68.88"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","003","0.8968877551020276","0.723736509729629","14.0","63.96","118.08"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","004","0.8668469387754837","0.6637877841291454","13.0","54.120000000000005","98.4"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","005","0.5950714285714049","0.31159068887202546","6.0","29.52","59.04"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","006","0.7739591836734458","0.30681168347588617","6.0","19.68","39.36"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","007","0.8503265306122194","0.574564539200466","13.0","44.28","68.88"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","008","0.68081632653059","0.3989232489213923","8.0","34.44","68.88"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","009","0.8009387755101657","0.5696043711486255","11.0","49.2","98.4"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","010","0.6964081632653202","0.38516489795649417","9.0","24.6","49.2"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","001","0.8737142857142653","0.6812530684002182","14.0","59.04","98.4"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","002","0.7680408163265251","0.5256905014813075","10.0","44.28","88.56"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","003","0.7790102040816168","0.6053222849755598","13.0","49.2","78.72"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","004","0.794948979591807","0.5022596967794286","10.0","34.44","49.2"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","005","0.9355102040816347","0.6558401660101941","14.0","44.28","88.56"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","006","0.9164591836734626","0.7933671448487312","16.0","78.72","127.92"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","007","0.9009387755101939","0.6150151714843204","13.0","54.120000000000005","78.72"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","008","0.8750204081632355","0.5520121709797091","11.0","39.36","78.72"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","009","0.7595612244897654","0.5615964559026991","12.0","44.28","88.56"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2C_Antagonist","010","0.846795918367324","0.5630627902064514","11.0","44.28","78.72"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","001","0.8549489795918062","0.6805479327042957","15.0","49.2","88.56"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","002","0.8250204081632344","0.5085945323328747","10.0","34.44","59.04"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","003","0.7670204081632139","0.47748564861882475","10.0","29.52","49.2"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","004","0.8835714285714198","0.5946416295289368","11.0","54.120000000000005","98.4"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","005","0.8061632653060826","0.5109534718700243","11.0","39.36","68.88"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","006","0.9410798122065729","0.5766888811040743","12.997357723577235","44.271","68.866"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","007","0.9299693877550815","0.6861673822785294","16.0","39.36","59.04"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","008","0.8723265306122303","0.6151379419234703","13.0","54.120000000000005","98.4"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","009","0.9028571428571408","0.60264934824648","13.0","49.2","88.56"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ACM1_Agonist","010","0.9286224489795882","0.5881869347061973","13.0","44.28","78.72"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ADA2A_Antagonist","001","0.850969387755073","0.4843684023258411","10.0","39.36","59.04"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ADA2A_Antagonist","002","0.7931428571428133","0.60251008818356","12.0","54.120000000000005","108.24000000000001"
"method_rdkit_ap_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","ADA2A_Antagonist","003","0.9125612244897893","0.5106846545748037","10.0","34.44","49.2"
