;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 9.84; 59.04; 49.2; 39.36; 59.04; 19.68; 29.52; 19.68; 29.52; 19.68;033.45600000000000000000 
5HT2C; 39.36; 49.2; 78.72; 49.2; 29.52; 39.36; 68.88; 49.2; 19.68; 19.68;044.28000000000000000000 
ADA2A; 9.84; 39.36; 19.68; 39.36; 59.04; 49.2; 19.68; 9.84; 59.04; 29.52;033.45600000000000000000 
CDK2;; 9.84;;;;;;; 19.676; 19.676;0 
HDAC01; 0.0; 0.0; 0.0; 0.0; 9.84; 0.0; 0.0; 0.0; 9.84; 9.84;02.95200000000000000000 
PXR_Agonist; 61.59157894736842; 65.0; 51.294736842105266; 22.92705882352941; 41.044210526315794; 41.061052631578946; 29.274; 39.0; 30.79578947368421; 20.509473684210526;040.24979009287925720000 
8.5-9.0
ACM1_Agonist; 59.04; 68.88; 29.52;; 68.88; 39.352;; 78.72; 59.04; 88.56;0 
ADA2B_Antagonist; 19.68; 39.36; 59.04; 49.2; 29.52; 9.84; 29.52; 29.52; 59.04; 68.88;039.36000000000000000000 
ADA2C_Antagonist; 29.52; 39.36; 49.2; 29.52; 19.68; 39.36; 39.36; 39.36; 39.36; 19.68;034.44000000000000000000 
CHK1; 9.83; 19.656; 0.0; 0.0; 9.836; 9.831999999999999; 0.0; 9.838; 0.0; 0.0;05.89919999999999990000 
9.0-9.5
5HT1F_Agonist; 49.2; 59.04; 59.04; 68.88; 49.2; 78.72; 59.04; 78.72; 59.04; 68.88;062.97600000000000000000 
DRD1_Antagonist; 68.88; 49.2; 59.04; 49.2; 49.2; 9.84; 39.36; 49.2; 78.72; 59.04;051.16800000000000000000 
DRD2_Agonist; 59.04; 98.4; 9.84; 49.2; 49.2; 59.04; 59.04; 78.72; 39.36; 29.52;053.13600000000000000000 
LSHR_Antagonist; 39.36; 68.88; 88.56; 68.88; 59.04; 88.56; 29.52; 68.88; 49.2; 19.68;058.05600000000000000000 
OPRM_Agonist; 49.2; 49.2; 49.2; 59.04; 78.72; 68.88; 49.2; 59.04; 68.88; 98.4;062.97600000000000000000 
9.8-1.0
DHFR; 40.83295194508009; 34.21994884910486; 38.81739130434782; 34.28132992327365; 42.99516908212561; 10.833333333333334; 38.8; 22.792838874680307; 29.067391304347826; 43.14009661835749;033.57804512346509870000 
MTR1A_Agonist; 39.36; 68.88; 59.04; 68.88; 78.72; 68.88; 39.36; 78.72; 88.56; 68.88;065.92800000000000000000 
MTR1B_Agonist; 59.04; 78.72; 78.72; 49.2; 108.24000000000001; 68.88; 78.72; 98.4; 59.04; 88.56;076.75200000000000100000 
P38; 68.376; 34.44705882352941; 58.596000000000004; 78.08; 48.769999999999996; 39.024; 51.357894736842105; 51.41052631578947; 45.92941176470588; 54.18888888888889;053.01797805297557550000 
V2R_Antagonist; 78.72; 68.88; 78.72; 78.72; 118.08; 49.2; 88.56; 68.88; 88.56; 88.56;080.68800000000000000000 
