;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 4.0; 7.0; 8.0; 8.0; 6.0; 4.0; 3.0; 3.0; 6.0; 3.0;05.20000000000000000000 
5HT2C; 9.0; 10.0; 9.0; 9.0; 5.0; 5.0; 7.0; 7.0; 5.0; 7.0;07.30000000000000000000 
ADA2A; 4.0; 9.0; 4.0; 8.0; 11.0; 9.0; 2.0; 3.0; 7.0; 3.0;06.00000000000000000000 
CDK2;; 2.0;;;;;;; 2.9993902439024387; 2.9993902439024387;0 
HDAC01; 2.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 3.0; 2.0; 7.0;01.70000000000000000000 
PXR_Agonist; 9.465918895599655; 8.879781420765028; 7.3578515962036235; 4.6981677917068465; 7.359361518550474; 6.310612597066436; 3.999180327868852; 5.993852459016393; 8.414150129421914; 5.253451251078516;06.77323279872777380000 
8.5-9.0
ACM1_Agonist; 11.0; 8.0; 8.0;; 12.0; 9.997967479674797;; 9.0; 10.0; 14.0;0 
ADA2B_Antagonist; 4.0; 8.0; 10.0; 8.0; 7.0; 4.0; 5.0; 5.0; 8.0; 11.0;07.00000000000000000000 
ADA2C_Antagonist; 6.0; 7.0; 6.0; 6.0; 4.0; 6.0; 4.0; 8.0; 6.0; 2.0;05.50000000000000000000 
CHK1; 6.992886178861788; 3.995121951219512; 2.9987804878048783; 0.999390243902439; 1.9991869918699188; 2.997560975609756; 0.998780487804878; 1.9995934959349593; 0.9995934959349594; 1.9991869918699188;02.59800813008130076000 
9.0-9.5
5HT1F_Agonist; 8.0; 11.0; 10.0; 9.0; 10.0; 9.0; 11.0; 11.0; 8.0; 9.0;09.60000000000000000000 
DRD1_Antagonist; 10.0; 9.0; 9.0; 9.0; 7.0; 6.0; 10.0; 9.0; 10.0; 8.0;08.70000000000000000000 
DRD2_Agonist; 9.0; 11.0; 3.0; 10.0; 8.0; 9.0; 10.0; 9.0; 10.0; 9.0;08.80000000000000000000 
LSHR_Antagonist; 9.0; 8.0; 12.0; 9.0; 9.0; 11.0; 10.0; 10.0; 11.0; 4.0;09.30000000000000000000 
OPRM_Agonist; 11.0; 10.0; 8.0; 11.0; 10.0; 9.0; 7.0; 12.0; 11.0; 12.0;010.10000000000000000000 
9.8-1.0
DHFR; 9.433505639097744; 10.588235294117647; 10.960714285714285; 11.733193277310924; 11.086198305929248; 5.537037037037037; 6.971875; 9.403323661303086; 7.9946188340807165; 7.751736111111111;09.14604374457017985000 
MTR1A_Agonist; 13.0; 14.0; 12.0; 12.0; 14.0; 15.0; 14.0; 11.0; 14.0; 14.0;013.30000000000000000000 
MTR1B_Agonist; 14.0; 11.0; 12.0; 9.0; 14.0; 14.0; 12.0; 14.0; 16.0; 14.0;013.00000000000000000000 
P38; 13.954285714285714; 10.588235294117647; 10.961836734693877; 11.0; 8.994467213114755; 9.995901639344263; 9.47174288179465; 10.491944146079485; 7.0588235294117645; 11.104280510018215;010.36215176628603705000 
V2R_Antagonist; 13.0; 14.0; 12.0; 12.0; 16.0; 12.0; 13.0; 14.0; 17.0; 15.0;013.80000000000000000000 
