,1,2,3,4,5,6,7,8,9,10, avg 
8.0-8.5,,,,,,,,,,,
5HT2B,,,,,,,,,,,0
5HT2C,,,,,,,,,,,0
ADA2A,,,,,,,,,,,0
CDK2,,,,,,,,,,,0
HDAC01,,,,,,,,,,,0
PXR_Agonist,,,,,,,,,,,0
8.5-9.0,,,,,,,,,,,
ACM1_Agonist,0.8855918367,0.8380612245,0.8876326531,0,0.9334387755,0.9783425189,0,0.9064489796,0.9721632653,0.9479081633,0.9186984271
ADA2B_Antagonist,0.9179693878,0.8201020408,0.9267857143,0.8893571429,0.8594693878,0.844877551,0.8783163265,0.8096326531,0.879122449,0.8690816327,0.8694714286
ADA2C_Antagonist,0.820744898,0.9113877551,0.8060714286,0.8791326531,0.8069693878,0.8963571429,0.8305714286,0.9138061224,0.9365612245,0.9018061224,0.8703408163
CHK1,0.7103575077,0.8803432775,0.8551143324,0.7396569328,0.8201408738,0.8729881536,0.8342766653,0.7233414983,0.8243160474,0.8000714577,0.8060606746
9.0-9.5,,,,,,,,,,,
5HT1F_Agonist,0.9574285714,0.985,0.9347857143,0.9321530612,0.9163367347,0.9473061224,0.8956326531,0.9630102041,0.9367653061,0.9865204082,0.9454938776
DRD1_Antagonist,0.9915,0.9806326531,0.9891734694,0.9492346939,0.9766020408,0.9267142857,0.9896122449,0.9958877551,0.9505510204,0.9203673469,0.967027551
DRD2_Agonist,0.9242244898,0.8755,0.9374183673,0.9147142857,0.9922142857,0.9318979592,0.8900816327,0.8846632653,0.9734081633,0.8611122449,0.9185234694
LSHR_Antagonist,0.8733571429,0.9071530612,0.9245306122,0.9393877551,0.9376530612,0.8558571429,0.9342653061,0.8762755102,0.846377551,0.8289183673,0.892377551
OPRM_Agonist,0.9925102041,0.9807244898,0.9575612245,0.9907244898,0.9600204082,0.9709387755,0.9229081633,0.9918163265,0.9352142857,0.9974081633,0.9699826531
9.8-1.0,,,,,,,,,,,
DHFR,0.9901182492,0.9542571924,0.9612061206,0.9695507949,0.9732375652,0.97717832,0.8981427285,0.9155612684,0.9880211855,0.9784748769,0.9605748302
MTR1A_Agonist,0.9328571429,0.9795918367,0.8977244898,0.946755102,0.9901020408,0.9060306122,0.9604183673,0.9540918367,0.9455918367,0.9893979592,0.9502561224
MTR1B_Agonist,0.9524897959,0.8829183673,0.9514897959,0.9438061224,0.9950510204,0.9252959184,0.9632040816,0.906744898,0.9765,0.9517244898,0.944922449
P38,0.9246813322,0.9653203663,0.9466070327,0.8328909465,0.9329112621,0.9816282421,0.8766839939,0.8516579218,0.8712365884,0.9649562096,0.9148573896
V2R_Antagonist,0.9978265306,0.9905714286,0.994255102,0.9763877551,0.9782346939,0.9841428571,0.9839795918,0.9752755102,0.9966122449,0.958377551,0.9835663265
