;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B;;;;;;;;;;;0 
5HT2C;;;;;;;;;;;0 
ADA2A;;;;;;;;;;;0 
CDK2;;;;;;;;;;;0 
HDAC01;;;;;;;;;;;0 
PXR_Agonist;;;;;;;;;;;0 
8.5-9.0
ACM1_Agonist; 0.8855918367346757; 0.8380612244897635; 0.887632653061207;; 0.9334387755101992; 0.9783425188814047;; 0.9064489795918145; 0.9721632653061163; 0.9479081632652849;0 
ADA2B_Antagonist; 0.9179693877551035; 0.820102040816293; 0.926785714285714; 0.8893571428571349; 0.8594693877550678; 0.8448775510203914; 0.8783163265305943; 0.8096326530612118; 0.8791224489795687; 0.8690816326530371;0.86947142857141165000 
ADA2C_Antagonist; 0.8207448979591737; 0.9113877551020372; 0.8060714285713967; 0.8791326530612077; 0.8069693877550899; 0.8963571428571165; 0.8305714285713949; 0.9138061224489733; 0.9365612244897892; 0.9018061224489762;0.87034081632651553000 
CHK1; 0.7103575076609282; 0.8803432774825746; 0.8551143323805723; 0.7396569328160064; 0.820140873826054; 0.8729881535947546; 0.8342766653044162; 0.7233414982649534; 0.8243160473662806; 0.8000714577378474;0.80606067464343877000 
9.0-9.5
5HT1F_Agonist; 0.9574285714285586; 0.9849999999999945; 0.9347857142856909; 0.9321530612244644; 0.9163367346938459; 0.9473061224489557; 0.8956326530611961; 0.963010204081622; 0.9367653061224245; 0.9865204081632633;0.94549387755100159000 
DRD1_Antagonist; 0.9914999999999993; 0.9806326530612169; 0.9891734693877515; 0.9492346938775275; 0.9766020408163183; 0.9267142857142762; 0.9896122448979575; 0.995887755102041; 0.9505510204081445; 0.9203673469387698;0.96702755102040025000 
DRD2_Agonist; 0.9242244897958992; 0.8754999999999734; 0.9374183673469244; 0.9147142857142656; 0.9922142857142849; 0.9318979591836685; 0.8900816326530434; 0.8846632653061028; 0.9734081632653044; 0.8611122448979366;0.91852346938774032000 
LSHR_Antagonist; 0.873357142857126; 0.9071530612244701; 0.9245306122448731; 0.939387755102021; 0.9376530612244682; 0.8558571428571067; 0.9342653061224455; 0.8762755102040621; 0.846377551020376; 0.8289183673468955;0.89237755102038442000 
OPRM_Agonist; 0.9925102040816312; 0.980724489795916; 0.9575612244897764; 0.9907244897959183; 0.9600204081632568; 0.9709387755102017; 0.922908163265306; 0.9918163265306119; 0.9352142857142782; 0.9974081632653063;0.96998265306122028000 
9.8-1.0
DHFR; 0.9901182492476124; 0.954257192411052; 0.9612061206120528; 0.9695507949304188; 0.9732375651825088; 0.9771783200258697; 0.8981427285006581; 0.915561268436161; 0.988021185485689; 0.9784748769457582;0.96057483017777808000 
MTR1A_Agonist; 0.9328571428571183; 0.9795918367346943; 0.8977244897958808; 0.9467551020407995; 0.9901020408163261; 0.9060306122448615; 0.9604183673469313; 0.9540918367346823; 0.9455918367346698; 0.9893979591836732;0.95025612244896371000 
MTR1B_Agonist; 0.9524897959183467; 0.8829183673469156; 0.9514897959183674; 0.9438061224489701; 0.9950510204081627; 0.9252959183673269; 0.9632040816326471; 0.9067448979591445; 0.976499999999998; 0.9517244897959035;0.94492244897957825000 
P38; 0.9246813322369133; 0.9653203662711202; 0.9466070326958252; 0.8328909465020556; 0.9329112620960098; 0.9816282420749307; 0.8766839939355152; 0.8516579217829139; 0.8712365884046629; 0.9649562095538572;0.91485738955538040000 
V2R_Antagonist; 0.997826530612245; 0.9905714285714285; 0.9942551020408164; 0.9763877551020331; 0.9782346938775418; 0.9841428571428505; 0.983979591836728; 0.9752755102040701; 0.9966122448979594; 0.9583775510203872;0.98356632653060600000 
