;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B;;;;;;;;;;;0 
5HT2C;;;;;;;;;;;0 
ADA2A;;;;;;;;;;;0 
CDK2;;;;;;;;;;;0 
HDAC01;;;;;;;;;;;0 
PXR_Agonist;;;;;;;;;;;0 
8.5-9.0
ACM1_Agonist; 0.8876938775510014; 0.8424795918367066; 0.8944693877551004;; 0.9007959183673356; 0.9241681975913711;; 0.8880102040816165; 0.930785714285691; 0.9339897959183507;0 
ADA2B_Antagonist; 0.9436938775510052; 0.8319591836734325; 0.9353673469387733; 0.8679285714285548; 0.8874999999999824; 0.7993979591836476; 0.9125102040816104; 0.7836020408163125; 0.8594795918367092; 0.8786836734693643;0.87001224489793922000 
ADA2C_Antagonist; 0.8327142857142692; 0.9090918367346806; 0.7898163265305806; 0.9613367346938765; 0.7859285714285458; 0.8527653061224207; 0.8620918367346929; 0.922459183673467; 0.8498979591836431; 0.8938673469387582;0.86599693877549346000 
CHK1; 0.7708171603677535; 0.9165713118103807; 0.8217741935484071; 0.8221870532979316; 0.881186198448365; 0.9030228758169865; 0.8692787086228044; 0.7844968360889846; 0.859350755410396; 0.8787770518579269;0.85074621452699363000 
9.0-9.5
5HT1F_Agonist; 0.9134795918367178; 0.9693061224489723; 0.9148979591836405; 0.9294489795918186; 0.9206020408162974; 0.9309081632652819; 0.9280612244897694; 0.9479081632652879; 0.9358775510203845; 0.9638979591836573;0.93543877551018276000 
DRD1_Antagonist; 0.9672551020408159; 0.951693877551007; 0.9667040816326475; 0.9262551020408089; 0.9937857142857143; 0.8989489795918221; 0.9817959183673446; 0.9836632653061174; 0.9434285714285634; 0.9207857142857061;0.95343163265305472000 
DRD2_Agonist; 0.9042755102040498; 0.9312959183673329; 0.8955306122448728; 0.9100816326530609; 0.9660306122448904; 0.8738265306122245; 0.8478061224489452; 0.879163265306107; 0.9162653061224295; 0.8259285714285364;0.89502040816324494000 
LSHR_Antagonist; 0.8926122448979538; 0.8811632653061016; 0.9495612244897872; 0.9203061224489536; 0.9157040816326201; 0.8372653061224032; 0.9088979591836558; 0.791816326530554; 0.8501938775509994; 0.7908979591836225;0.87384183673466512000 
OPRM_Agonist; 0.9791734693877531; 0.944469387755089; 0.9446224489795758; 0.9618571428571286; 0.9362653061224526; 0.9767755102040775; 0.9302142857142788; 0.946928571428556; 0.9082551020408028; 0.9902142857142834;0.95187755102039976000 
9.8-1.0
DHFR; 0.9483044621910448; 0.9236604837749164; 0.7488298829883409; 0.8617627235122246; 0.9045201564380643; 0.889809218217534; 0.8896555605583163; 0.9780422193657826; 0.9319810682893871; 0.8443644904180061;0.89209302657536171000 
MTR1A_Agonist; 0.9340408163265078; 0.968459183673458; 0.86608163265303; 0.9562653061224431; 0.9800408163265303; 0.9294999999999778; 0.9874183673469391; 0.9567346938775406; 0.9524489795918158; 0.9371122448979645;0.94681020408162070000 
MTR1B_Agonist; 0.9518979591836568; 0.9254693877550848; 0.9508265306122372; 0.9733877551020349; 0.9950510204081635; 0.9279999999999872; 0.9490714285714168; 0.8976122448979301; 0.9802244897959157; 0.9790816326530584;0.95306224489794854000 
P38; 0.9088199013158088; 0.9308584630644753; 0.9483137980669962; 0.8512037037037785; 0.9733580399423503; 0.9632564841498579; 0.8704461771712988; 0.8549142640774948; 0.8505642849367008; 0.9799455763645897;0.91316806927933511000 
V2R_Antagonist; 0.9972346938775511; 0.9540612244897814; 0.9952244897959185; 0.9590816326530515; 0.9798469387755012; 0.9493061224489551; 0.9734999999999875; 0.9548061224489568; 0.9893061224489768; 0.9455306122448783;0.96978979591835582000 
