,1,2,3,4,5,6,7,8,9,10, avg
8.0-8.5,,,,,,,,,,,
5HT2B,3666.435303,3449.629609,3413.576276,3382.133436,3734.396151,3291.124119,3547.886639,3580.753515,3615.558053,3843.151324,3552.4644425
5HT2C,,,,,,,1847.255858,1888.083313,,,1867.6695855
ADA2A,,2072.898725,2025.308167,,,1808.725416,,1933.333358,1959.808843,,1960.0149018
CDK2,,1335.504974,,,,,,,1362.014928,1322.863671,1340.1278576667
HDAC01,4091.154929,4357.597202,3883.095239,3795.604197,4031.705959,4017.843007,4042.356607,4149.128697,3848.328762,3994.311167,4021.1125766
PXR_Agonist,4220.256611,3901.554303,4334.161978,4088.658368,3907.896512,3851.828152,4084.713814,3943.351398,4128.061942,3762.165677,4022.2648755
8.5-9.0,,,,,,,,,,,
ACM1_Agonist,1295.269199,1363.411859,1409.511707,0,1427.682272,1436.074605,0,1338.885946,1383.583977,1515.065905,1396.18568375
ADA2B_Antagonist,3867.434751,4535.893849,4427.266586,4648.963793,4295.659502,4414.052315,4635.660746,4724.985431,4651.33004,4773.614626,4497.4861639
ADA2C_Antagonist,3000.643116,2808.463817,2963.824339,3001.334639,3132.651946,3167.907013,2964.029593,2968.080029,2965.007587,2721.114212,2969.3056291
CHK1,3605.323774,3367.538409,3634.192461,3352.330707,3428.98365,3717.04797,3333.30075,3464.514701,3673.06891,3734.959345,3531.1260677
9.0-9.5,,,,,,,,,,,
5HT1F_Agonist,2916.992588,2873.223504,3046.119657,3067.900935,3009.94673,2876.318537,3031.424847,2985.525681,3025.899465,2913.327688,2974.6679632
DRD1_Antagonist,2966.001137,3005.298969,2998.800552,2929.93567,2984.452706,2882.008735,2761.936853,2977.813483,2960.158739,3006.729731,2947.3136575
DRD2_Agonist,3526.20279,3704.378542,3534.14341,3470.245259,3583.781986,3616.194409,3521.885315,3582.501271,3453.746431,3429.025546,3542.2104959
LSHR_Antagonist,7498.044704,7744.996476,7774.871057,7734.272315,7643.791565,7856.91335,7353.763682,7524.855343,7840.201,7556.443001,7652.8152493
OPRM_Agonist,4357.521855,4423.242662,3867.984667,4290.693738,4139.573191,4412.030594,4260.062537,4327.438389,4339.709016,4252.210404,4267.0467053
9.8-1.0,,,,,,,,,,,
DHFR,2816.491227,2734.440322,2698.706397,2714.449751,2787.190772,2812.963701,2781.408188,2698.058047,2803.771618,2665.644493,2751.3124516
MTR1A_Agonist,1800.176438,1915.95521,1831.547097,1935.746282,1817.051535,1808.643749,1873.427701,1873.513983,1847.73736,1929.80341,1863.3602765
MTR1B_Agonist,1871.026883,1873.30653,1903.187547,1910.424724,1813.587691,1876.50395,1861.978695,1879.941261,1824.089995,1825.293073,1863.9340349
P38,3536.678845,3616.042443,3668.980133,3701.764678,3836.767707,3568.00191,3518.648145,3807.226613,3723.516319,3756.295433,3673.3922226
V2R_Antagonist,6902.986126,7108.486411,6774.710015,6839.956342,6834.238422,6823.696664,6907.92193,6897.634318,6584.880294,6924.340848,6859.885137
