,1,2,3,4,5,6,7,8,9,10, avg
8.0-8.5,,,,,,,,,,,
5HT2B,888.682418,885.420586,864.095348,845.399703,869.349548,811.808011,884.346433,883.206504,877.325669,916.942229,872.6576449
5HT2C,904.056666,814.678681,496.245318,890.206971,862.001766,875.712434,870.328676,885.000595,789.729076,857.312097,824.527228
ADA2A,765.374309,826.335984,808.662864,776.456742,791.298201,769.01394,827.611405,780.566714,806.733692,494.792091,764.6845942
CDK2,,450.52075,,,,,,,448.78314,439.093124,446.132338
HDAC01,1120.008924,1171.439468,1113.559093,1042.571472,1120.333303,1105.085862,1114.541296,1135.812188,1074.111915,1088.30198,1108.5765501
PXR_Agonist,1213.893936,1155.953643,1196.884956,1231.047927,1129.625896,1093.614009,1224.074314,1089.031372,1204.877023,1111.839815,1165.0842891
8.5-9.0,,,,,,,,,,,
ACM1_Agonist,403.489468,416.56485,418.216442,0,430.585751,265.311404,0,412.321294,407.591677,433.664754,398.468205
ADA2B_Antagonist,817.567506,910.873532,913.520471,904.916081,904.918594,872.339733,895.84477,927.935272,942.903124,922.808607,901.362769
ADA2C_Antagonist,907.821172,840.686946,906.614138,905.009724,905.257889,926.930594,901.6667,884.781489,866.506158,814.68625,885.996106
CHK1,1037.946443,999.902209,1043.266234,997.918079,1036.598149,1073.240498,962.30504,993.998641,1046.462508,1080.6295,1027.2267301
9.0-9.5,,,,,,,,,,,
5HT1F_Agonist,911.325259,901.581938,863.677043,903.158208,875.439989,878.232525,866.161477,890.016141,899.36534,838.319832,882.7277752
DRD1_Antagonist,901.24357,922.301292,908.371226,917.585371,910.524761,894.866403,883.023755,872.732591,884.439188,921.711024,901.6799181
DRD2_Agonist,986.993079,1028.800534,1019.338144,963.676987,1004.37375,1028.327284,1008.287695,1038.186954,1016.056495,1030.927165,1012.4968087
LSHR_Antagonist,1941.69906,1972.478472,1999.743074,2008.76169,1939.110251,1993.839966,1957.111346,1826.951833,2008.053657,1965.639376,1961.3388725
OPRM_Agonist,1299.684926,1299.48502,1244.224534,1242.700077,1189.764292,1303.137868,1245.629772,1246.851437,1253.008321,1214.811973,1253.929822
9.8-1.0,,,,,,,,,,,
DHFR,828.459099,801.736347,834.679724,791.515621,804.717721,793.135702,819.941931,834.123872,818.717202,776.504745,810.3531964
MTR1A_Agonist,558.167097,584.046362,569.791612,580.19544,570.422978,558.003241,581.401695,572.779063,576.430903,583.012158,573.4250549
MTR1B_Agonist,579.12153,575.989454,583.592204,584.289441,563.129768,578.218061,566.285887,584.249677,563.775796,570.829835,574.9481653
P38,1022.818042,1051.146111,1050.423566,1041.023639,1083.205177,1050.087016,986.947263,1085.304978,1088.923185,1078.808019,1053.8686996
V2R_Antagonist,1807.430405,1901.327108,1795.43964,1804.858938,1832.688612,1870.532229,1866.748085,1854.292573,1763.716364,1870.514033,1836.7547987
