;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 49.2; 39.36; 59.04; 24.6; 29.52; 19.68; 29.52; 34.44; 29.52; 29.52;034.44000000000000000000 
5HT2C; 44.28; 44.28; 24.6; 24.6; 34.44; 49.2; 39.36; 44.28; 14.76; 39.36;035.91600000000000000000 
ADA2A; 19.68; 39.36; 19.68; 44.28; 39.36; 19.68; 24.6; 34.44; 44.28; 34.44;031.98000000000000000000 
CDK2; 39.36; 29.52; 29.52; 34.433; 19.68; 24.6; 34.44; 29.52; 39.352; 49.19;032.96150000000000000000 
HDAC01; 19.68; 24.6; 49.2; 29.52; 14.76; 29.52; 24.6; 9.84; 29.52; 44.28;027.55200000000000000000 
PXR_Agonist; 78.5606874328679; 82.90816326530611; 62.80988184747583; 58.4873949579832; 78.52846401718583; 94.27282491944146; 74.67857142857143; 74.61734693877551; 78.5606874328679; 78.48012889366272;076.19041511341378900000 
8.5-9.0
ACM1_Agonist; 34.44; 34.44; 14.76; 44.28; 24.6; 29.514; 24.6; 34.44; 14.76; 49.2;030.50340000000000000000 
ADA2B_Antagonist; 49.2; 44.28; 54.120000000000005; 39.36; 34.44; 24.6; 24.6; 19.68; 29.52; 59.04;037.88400000000000050000 
ADA2C_Antagonist; 29.52; 29.52; 24.6; 44.28; 9.84; 29.52; 44.28; 54.120000000000005; 24.6; 39.36;032.96400000000000050000 
CHK1; 58.98; 73.71000000000001; 73.77000000000001; 68.838; 83.606; 68.824; 58.967999999999996; 73.785; 68.852; 73.77000000000001;070.31030000000000260000 
9.0-9.5
5HT1F_Agonist; 59.04; 68.88; 63.96; 68.88; 34.44; 59.04; 44.28; 59.04; 59.04; 49.2;056.58000000000000000000 
DRD1_Antagonist; 44.28; 34.44; 49.2; 24.6; 44.28; 24.6; 29.52; 63.96; 24.6; 34.44;037.39200000000000000000 
DRD2_Agonist; 49.2; 54.120000000000005; 44.28; 54.120000000000005; 59.04; 63.96; 44.28; 49.2; 54.120000000000005; 63.96;053.62800000000000150000 
LSHR_Antagonist; 63.96; 54.120000000000005; 78.72; 73.8; 73.8; 88.56; 68.88; 59.04; 63.96; 39.36;066.42000000000000050000 
OPRM_Agonist; 44.28; 39.36; 39.36; 49.2; 59.04; 44.28; 39.36; 63.96; 49.2; 49.2;047.72400000000000000000 
9.8-1.0
DHFR; 78.26315789473684; 99.11111111111111; 84.32000000000001; 75.92679738562092; 82.4074074074074; 88.5925925925926; 84.28222222222222; 75.72287581699345; 94.09222222222222; 93.70987654320987;085.64282631961166400000 
MTR1A_Agonist; 59.04; 83.64; 83.64; 83.64; 88.56; 63.96; 78.72; 78.72; 68.88; 83.64;077.24400000000000000000 
MTR1B_Agonist; 83.64; 68.88; 78.72; 54.120000000000005; 68.88; 63.96; 88.56; 78.72; 83.64; 78.72;074.78400000000000050000 
P38; 89.70612244897958; 93.73349339735894; 89.68775510204082; 94.61224489795919; 84.60102040816327; 94.5734693877551; 94.33082706766918; 68.19763694951665; 87.87515006002401; 99.53061224489797;089.68483319643647100000 
V2R_Antagonist; 93.47999999999999; 88.56; 98.4; 88.56; 98.4; 88.56; 98.4; 93.47999999999999; 98.4; 93.47999999999999;093.97199999999999700000 
