;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 0.8665918367346711; 0.9035612244897971; 0.8503163265305774; 0.8509081632652864; 0.7114285714285533; 0.723316326530585; 0.853908163265283; 0.8081632653060904; 0.873357142857107; 0.7550306122448512;0.81965816326528019000 
5HT2C; 0.8705714285714095; 0.7109285714285072; 0.9041428571428504; 0.7686428571428129; 0.8105714285713926; 0.8867857142856993; 0.7529183673469327; 0.885867346938765; 0.7578673469387323; 0.6943367346938726;0.80426326530609745000 
ADA2A; 0.7682857142856635; 0.814704081632617; 0.7816530612244531; 0.7875510204081263; 0.8945306122448885; 0.9410102040816252; 0.733551020408137; 0.8193673469387381; 0.8520102040816133; 0.8256530612244782;0.82183163265303402000 
CDK2; 0.8090918367346482; 0.8271020408162932; 0.8021938775510062; 0.8587977138191729; 0.8087244897958893; 0.7104591836734312; 0.7553265306122225; 0.8177653061224259; 0.8458052663808657; 0.8146866707491333;0.80499529162550884000 
HDAC01; 0.7530102040815778; 0.8534591836734479; 0.8035816326530181; 0.8769081632652853; 0.7064897959183176; 0.8070918367346523; 0.7896122448979093; 0.6198979591836484; 0.7502551020407636; 0.8881938775510041;0.78484999999996244000 
PXR_Agonist; 0.9076536306795433; 0.9276874156429527; 0.951326090256587; 0.7943417943902064; 0.9003740040110658; 0.9660067401363122; 0.9427762914179859; 0.8418640576724787; 0.9187065873454479; 0.8755369462403306;0.90262735577929105000 
8.5-9.0
ACM1_Agonist; 0.8748775510203932; 0.7279183673468815; 0.7328673469387441; 0.7935816326530192; 0.9114693877550791; 0.8700244947948415; 0.8395204081632426; 0.8881938775509902; 0.9669999999999975; 0.9079183673469264;0.85133714335701153000 
ADA2B_Antagonist; 0.9079489795918356; 0.7996632653060696; 0.806581632653022; 0.8702244897958922; 0.8696734693877444; 0.7542551020407627; 0.8176530612244673; 0.7604795918366927; 0.9545102040816176; 0.9115816326530398;0.84525714285711439000 
ADA2C_Antagonist; 0.8668979591836653; 0.8667755102040501; 0.738275510204044; 0.9434183673469294; 0.8347142857142708; 0.8891938775510129; 0.865663265306107; 0.9160918367346832; 0.8948571428571271; 0.7757244897958863;0.85916122448977761000 
CHK1; 0.8898161389172599; 0.9859828361258687; 0.8387096774193612; 0.8750867878292621; 0.8827480604328916; 0.8609885620916075; 0.9044646505924756; 0.8033884466217504; 0.8444058799509927; 0.9303389138424102;0.88159299538238799000 
9.0-9.5
5HT1F_Agonist; 0.8977346938775249; 0.8621428571428349; 0.8431530612244437; 0.9541836734693783; 0.8940816326530571; 0.7612653061224466; 0.9180714285714007; 0.9608367346938691; 0.8134081632652557; 0.9005918367346887;0.88054693877548997000 
DRD1_Antagonist; 0.8677551020407985; 0.9340102040816142; 0.9079693877550784; 0.8424795918367; 0.9063673469387632; 0.6427551020408131; 0.8548673469387466; 0.962510204081618; 0.9000612244897871; 0.9272040816326458;0.87459795918365649000 
DRD2_Agonist; 0.9313571428571376; 0.96339795918367; 0.9539081632653003; 0.9596836734693812; 0.9815612244897954; 0.8795918367346769; 0.9812142857142857; 0.9046020408163133; 0.9472346938775451; 0.9381428571428406;0.94406938775509461000 
LSHR_Antagonist; 0.9715306122448949; 0.9796836734693868; 0.9181938775510049; 0.9197244897958864; 0.9266020408162986; 0.9096122448979216; 0.9258367346938503; 0.8553673469387432; 0.9019591836734383; 0.8829591836734301;0.91914693877548551000 
OPRM_Agonist; 0.962714285714279; 0.8841530612244748; 0.9662142857142728; 0.9856530612244888; 0.9439999999999853; 0.8284285714285259; 0.9571224489795815; 0.977408163265305; 0.9631224489795914; 0.9948163265306124;0.94636326530611169000 
9.8-1.0
DHFR; 0.9929145240408541; 0.9957500893672797; 0.992979297929793; 0.9641323165977412; 0.9944970918572001; 0.9814939183643037; 0.9714768122467582; 0.9860593933450842; 0.9945345954473743; 0.9908427654098895;0.98646808046062780000 
MTR1A_Agonist; 0.8727959183673283; 0.9529183673469234; 0.9169387755101748; 0.9839387755102021; 0.9924999999999993; 0.8846224489795671; 0.9298877551020364; 0.9491224489795747; 0.8816734693877303; 0.9408877551020395;0.93052857142855759000 
MTR1B_Agonist; 0.8846530612244698; 0.8551734693877192; 0.935806122448968; 0.8665612244897707; 0.9750918367346944; 0.870142857142839; 0.9284285714285426; 0.8693877551020117; 0.936255102040807; 0.9494999999999811;0.90709999999998035000 
P38; 0.9985916940789473; 0.9981250982811385; 0.9966378778531771; 0.9998559670781892; 0.9725756639901405; 0.9994236311239193; 0.9643816330950862; 0.9974360361334993; 0.9996250196562276; 0.999725595115593;0.99263782164059180000 
V2R_Antagonist; 0.9519999999999755; 0.9962142857142857; 0.999938775510204; 0.9991122448979591; 0.9956734693877551; 0.92523469387752; 0.9905918367346922; 0.960091836734674; 0.9996020408163265; 0.9963979591836736;0.98148571428570657000 

