;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 49.2; 14.76; 44.28; 34.44; 24.6; 24.6; 39.36; 24.6; 34.44; 34.44;032.47200000000000000000 
5HT2C; 59.04; 44.28; 44.28; 34.44; 14.76; 63.96; 44.28; 34.44; 44.28; 39.36;042.31200000000000000000 
ADA2A; 34.44; 44.28; 34.44; 39.36; 63.96; 39.36; 24.6; 44.28; 44.28; 34.44;040.34400000000000000000 
CDK2; 44.28; 29.52; 34.44; 49.19; 24.6; 19.68; 39.36; 29.52; 44.271; 54.109;036.89700000000000000000 
HDAC01; 9.84; 39.36; 49.2; 34.44; 24.6; 29.52; 29.52; 19.68; 34.44; 49.2;031.98000000000000000000 
PXR_Agonist; 78.5606874328679; 77.38095238095238; 83.74650912996778; 52.63865546218488; 78.52846401718583; 68.0859291084855; 69.7; 69.64285714285714; 73.32330827067669; 62.78410311493018;071.43914660601082800000 
8.5-9.0
ACM1_Agonist; 49.2; 24.6; 24.6; 29.52; 44.28; 39.352; 34.44; 59.04; 63.96; 49.2;041.81920000000000000000 
ADA2B_Antagonist; 39.36; 54.120000000000005; 63.96; 59.04; 44.28; 44.28; 24.6; 19.68; 63.96; 54.120000000000005;046.74000000000000100000 
ADA2C_Antagonist; 44.28; 63.96; 29.52; 54.120000000000005; 14.76; 49.2; 44.28; 63.96; 39.36; 39.36;044.28000000000000050000 
CHK1; 68.81; 78.624; 73.77000000000001; 73.755; 63.934000000000005; 68.824; 58.967999999999996; 63.947; 68.852; 63.934000000000005;068.34180000000000160000 
9.0-9.5
5HT1F_Agonist; 59.04; 44.28; 59.04; 68.88; 39.36; 49.2; 54.120000000000005; 68.88; 59.04; 59.04;056.08800000000000050000 
DRD1_Antagonist; 54.120000000000005; 44.28; 44.28; 49.2; 59.04; 29.52; 54.120000000000005; 68.88; 54.120000000000005; 59.04;051.66000000000000150000 
DRD2_Agonist; 54.120000000000005; 68.88; 44.28; 54.120000000000005; 68.88; 49.2; 59.04; 44.28; 49.2; 44.28;053.62800000000000100000 
LSHR_Antagonist; 73.8; 78.72; 68.88; 73.8; 78.72; 83.64; 68.88; 59.04; 73.8; 59.04;071.83200000000000000000 
OPRM_Agonist; 63.96; 59.04; 68.88; 63.96; 68.88; 68.88; 68.88; 73.8; 73.8; 88.56;069.86400000000000000000 
9.8-1.0
DHFR; 73.04561403508771; 87.45098039215686; 84.32000000000001; 70.08627450980393; 82.4074074074074; 83.05555555555556; 79.32444444444444; 75.72287581699345; 84.18777777777777; 77.17283950617283;079.67737694453999600000 
MTR1A_Agonist; 54.120000000000005; 83.64; 73.8; 83.64; 83.64; 59.04; 63.96; 73.8; 68.88; 83.64;072.81600000000000050000 
MTR1B_Agonist; 73.8; 63.96; 78.72; 44.28; 63.96; 59.04; 88.56; 73.8; 78.72; 78.72;070.35600000000000000000 
P38; 89.70612244897958; 93.73349339735894; 94.67040816326531; 99.59183673469389; 84.60102040816327; 94.5734693877551; 94.33082706766918; 89.18152524167562; 99.59183673469387; 99.53061224489797;093.95111518291527300000 
V2R_Antagonist; 93.47999999999999; 78.72; 98.4; 93.47999999999999; 88.56; 88.56; 83.64; 93.47999999999999; 93.47999999999999; 83.64;089.54399999999999600000 
