;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 39.36; 49.2; 39.36; 29.52; 49.2; 39.36; 29.52; 49.2; 59.04; 39.36;042.31200000000000000000 
5HT2C; 29.52; 39.36; 49.2; 59.04; 49.2; 49.2; 68.88; 59.04; 9.84; 49.2;046.24800000000000000000 
ADA2A; 29.52; 39.36; 9.84; 49.2; 29.52; 49.2; 9.84; 29.52; 68.88; 29.52;034.44000000000000000000 
CDK2; 29.52; 68.88; 19.68; 9.838; 29.52; 19.68; 39.36; 29.52; 59.028; 49.19;035.42160000000000000000 
HDAC01; 39.36; 19.68; 29.52; 39.36; 29.52; 49.2; 19.68; 19.68; 29.52; 19.68;029.52000000000000000000 
PXR_Agonist; 112.91789473684211; 130.0; 92.33052631578947; 91.70823529411764; 123.13263157894737; 112.91789473684211; 107.33800000000001; 87.75; 92.38736842105263; 112.80210526315788;0106.32846563467492200000 
8.5-9.0
ACM1_Agonist; 59.04; 29.52; 19.68; 19.68; 49.2; 39.352; 19.68; 19.68; 19.68; 9.84;028.53520000000000000000 
ADA2B_Antagonist; 9.84; 49.2; 39.36; 39.36; 39.36; 29.52; 29.52; 39.36; 59.04; 78.72;041.32800000000000000000 
ADA2C_Antagonist; 59.04; 39.36; 39.36; 78.72; 29.52; 49.2; 68.88; 39.36; 29.52; 19.68;045.26400000000000000000 
CHK1; 49.15; 88.452; 68.852; 98.34; 78.688; 58.992; 58.967999999999996; 59.028; 29.508; 59.016;064.89939999999999960000 
9.0-9.5
5HT1F_Agonist; 39.36; 98.4; 59.04; 68.88; 39.36; 68.88; 68.88; 98.4; 68.88; 68.88;067.89600000000000000000 
DRD1_Antagonist; 19.68; 39.36; 29.52; 59.04; 59.04; 9.84; 59.04; 68.88; 19.68; 59.04;042.31200000000000000000 
DRD2_Agonist; 98.4; 78.72; 49.2; 59.04; 68.88; 68.88; 59.04; 78.72; 29.52; 39.36;062.97600000000000000000 
LSHR_Antagonist; 68.88; 78.72; 78.72; 118.08; 88.56; 118.08; 78.72; 78.72; 68.88; 59.04;083.64000000000000000000 
OPRM_Agonist; 59.04; 49.2; 59.04; 59.04; 39.36; 29.52; 59.04; 98.4; 68.88; 68.88;059.04000000000000000000 
9.8-1.0
DHFR; 142.91533180778032; 125.47314578005114; 116.45217391304348; 159.97953964194375; 139.7342995169082; 119.16666666666667; 135.8; 102.56777493606138; 106.5804347826087; 118.63526570048309;0126.73046327455467300000 
MTR1A_Agonist; 68.88; 108.24000000000001; 137.76; 127.92; 137.76; 78.72; 108.24000000000001; 118.08; 118.08; 78.72;0108.24000000000000200000 
MTR1B_Agonist; 127.92; 108.24000000000001; 98.4; 88.56; 108.24000000000001; 127.92; 127.92; 108.24000000000001; 98.4; 127.92;0112.17600000000000300000 
P38; 126.984; 183.71764705882353; 156.256; 165.92000000000002; 136.55599999999998; 185.364; 143.80210526315787; 133.66736842105263; 149.2705882352941; 162.56666666666666;0154.41043756449947900000 
V2R_Antagonist; 137.76; 118.08; 137.76; 118.08; 137.76; 127.92; 157.44; 147.6; 137.76; 118.08;0133.82400000000000000000 
