;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 0.8486224489795705; 0.80793877551018; 0.8645714285714117; 0.8544897959183505; 0.6786938775510178; 0.7763061224489559; 0.8372448979591615; 0.7835204081632344; 0.8858367346938594; 0.754346938775489;0.80915714285712307000 
5HT2C; 0.893265306122445; 0.7737448979591622; 0.9096632653061218; 0.8564795918367331; 0.897540816326513; 0.871061224489771; 0.8354285714285586; 0.8647551020408031; 0.766397959183656; 0.758581632653052;0.84269183673468158000 
ADA2A; 0.7773979591836453; 0.8258367346938574; 0.8840102040816058; 0.820499999999967; 0.8955408163265252; 0.9302755102040741; 0.6842755102040442; 0.8528469387754943; 0.8679081632652912; 0.7199081632652922;0.82584999999997967000 
CDK2; 0.8381938775509944; 0.8464693877550806; 0.8452346938775358; 0.85359256991218; 0.7978571428571056; 0.7856428571428312; 0.7757755102040356; 0.8739999999999926; 0.8759338640539068; 0.9060930802204571;0.83987929835741197000 
HDAC01; 0.7676530612244514; 0.8407142857142587; 0.8382551020407871; 0.8884999999999859; 0.770887755102013; 0.8199693877550666; 0.8543061224489629; 0.6883367346938611; 0.8516326530612228; 0.9361836734693807;0.82564387755099902000 
PXR_Agonist; 0.9421561934484176; 0.9206185802850526; 0.9358315442499865; 0.7812564366632194; 0.8674941731259264; 0.9842332824030343; 0.9596110310763449; 0.853964984552058; 0.9224884323223062; 0.9411420141450586;0.91087966722714045000 
8.5-9.0
ACM1_Agonist; 0.8904285714285622; 0.7000204081632755; 0.7674591836734607; 0.784836734693847; 0.8576938775510032; 0.8753112880179311; 0.890632653061198; 0.8427142857142624; 0.8624183673469312; 0.8441122448979314;0.83156276145484027000 
ADA2B_Antagonist; 0.899744897959177; 0.8710714285714111; 0.8384999999999626; 0.8721938775509993; 0.8296326530612075; 0.7209897959183208; 0.7700102040815889; 0.7766836734693754; 0.8803775510203912; 0.9346530612244767;0.83938571428569105000 
ADA2C_Antagonist; 0.8656530612244769; 0.865867346938757; 0.6774591836734589; 0.8512244897959012; 0.826448979591835; 0.9043367346938617; 0.8889387755102057; 0.9053877551020394; 0.7711020408162894; 0.8224183673469068;0.83788367346937320000 
CHK1; 0.9406230847803781; 0.9812832039231715; 0.9508677011025061; 0.9460486011843541; 0.9217129440588202; 0.8901960784313702; 0.8824070290150661; 0.9406205348030109; 0.9381992650061391; 0.9473152307064269;0.93392736730112432000 
9.0-9.5
5HT1F_Agonist; 0.9683571428571398; 0.9431938775510043; 0.8974999999999882; 0.9189081632652917; 0.8930612244897882; 0.8417142857142493; 0.9382448979591769; 0.8997244897959081; 0.8797653061224182; 0.9018979591836616;0.90823673469386263000 
DRD1_Antagonist; 0.8438469387754833; 0.7772959183673208; 0.8313265306122202; 0.850959183673446; 0.853948979591812; 0.6549693877550942; 0.8711020408163193; 0.8628673469387591; 0.8384081632652945; 0.856928571428562;0.82416530612243114000 
DRD2_Agonist; 0.9189489795918285; 0.9462653061224368; 0.9264183673469378; 0.9492551020408146; 0.9509897959183671; 0.938877551020404; 0.9524081632653044; 0.9044999999999837; 0.9319489795918269; 0.9779795918367334;0.93975918367346372000 
LSHR_Antagonist; 0.9601734693877442; 0.9844081632653062; 0.9701632653061193; 0.9535714285714101; 0.9256224489795744; 0.9504081632652895; 0.9764489795918306; 0.9741836734693872; 0.8981428571428403; 0.896755102040804;0.94898775510203058000 
OPRM_Agonist; 0.9402755102040815; 0.8609591836734514; 0.9238061224489593; 0.9349285714285713; 0.8980612244897819; 0.8290102040815952; 0.9142346938775443; 0.9513265306122334; 0.8861122448979467; 0.9692857142857112;0.91079999999998762000 
9.8-1.0
DHFR; 0.9898812768075071; 0.9987951966742132; 0.9863298829882993; 0.9675023458046479; 0.9919273967107903; 0.9910703181354624; 0.9811683926159382; 0.9874773067596041; 0.9952783412215461; 0.9921170327061949;0.98815474904242035000 
MTR1A_Agonist; 0.8757755102040602; 0.9892857142857135; 0.9357040816326289; 0.9934795918367346; 0.9844387755102008; 0.9456326530612128; 0.9856326530612249; 0.9895204081632649; 0.952244897959167; 0.9739285714285608;0.96256428571427684000 
MTR1B_Agonist; 0.9334591836734456; 0.9203265306122195; 0.9508571428571417; 0.9245408163265196; 0.9664183673469383; 0.9180510204081447; 0.9987244897959183; 0.8889489795918157; 0.963673469387747; 0.9530714285714119;0.94180714285713023000 
P38; 0.998499177631579; 0.9986573284464928; 0.9956302693810407; 0.9996913580246913; 0.99224830142063; 0.9995162618361466; 0.9987329434697856; 0.9926759344404174; 0.9990323087902651; 0.9997598957261439;0.99744437791671924000 
V2R_Antagonist; 0.9583979591836527; 0.9920714285714272; 0.9998571428571429; 0.9940612244897954; 0.999938775510204; 0.9451938775510004; 0.9993775510204082; 0.9754183673469273; 0.9998979591836735; 0.9988877551020408;0.98631020408162724000 

