;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 88.56; 78.72; 108.24000000000001; 49.2; 59.04; 39.36; 49.2; 68.88; 59.04; 49.2;064.94400000000000100000 
5HT2C; 68.88; 78.72; 39.36; 49.2; 49.2; 88.56; 78.72; 88.56; 9.84; 78.72;062.97600000000000000000 
ADA2A; 19.68; 78.72; 29.52; 88.56; 78.72; 39.36; 49.2; 68.88; 78.72; 68.88;060.02400000000000000000 
CDK2; 68.88; 59.04; 49.2; 49.19; 29.52; 49.2; 59.04; 49.2; 68.866; 68.866;055.10020000000000000000 
HDAC01; 39.36; 39.36; 78.72; 29.52; 9.84; 49.2; 49.2; 19.68; 59.04; 68.88;044.28000000000000000000 
PXR_Agonist; 153.97894736842105; 151.66666666666666; 123.10736842105263; 103.17176470588235; 143.65473684210528; 174.50947368421052; 117.096; 117.0; 133.44842105263157; 143.5663157894737;0136.11996945304437600000 
8.5-9.0
ACM1_Agonist; 68.88; 49.2; 19.68; 68.88; 49.2; 59.028; 49.2; 59.04; 29.52; 98.4;055.10280000000000000000 
ADA2B_Antagonist; 39.36; 88.56; 108.24000000000001; 59.04; 68.88; 49.2; 39.36; 29.52; 59.04; 108.24000000000001;064.94400000000000200000 
ADA2C_Antagonist; 59.04; 39.36; 49.2; 78.72; 19.68; 59.04; 88.56; 98.4; 29.52; 68.88;059.04000000000000000000 
CHK1; 88.47; 117.93599999999999; 137.704; 108.174; 127.86800000000001; 117.984; 88.452; 88.542; 127.86800000000001; 127.86800000000001;0113.08660000000000200000 
9.0-9.5
5HT1F_Agonist; 108.24000000000001; 108.24000000000001; 98.4; 118.08; 68.88; 108.24000000000001; 88.56; 118.08; 108.24000000000001; 98.4;0102.33600000000000400000 
DRD1_Antagonist; 78.72; 68.88; 88.56; 49.2; 68.88; 49.2; 59.04; 108.24000000000001; 49.2; 68.88;068.88000000000000100000 
DRD2_Agonist; 98.4; 88.56; 88.56; 98.4; 108.24000000000001; 108.24000000000001; 88.56; 98.4; 98.4; 108.24000000000001;098.40000000000000300000 
LSHR_Antagonist; 127.92; 78.72; 127.92; 137.76; 137.76; 147.6; 118.08; 88.56; 108.24000000000001; 68.88;0114.14400000000000100000 
OPRM_Agonist; 68.88; 78.72; 59.04; 88.56; 118.08; 88.56; 68.88; 127.92; 98.4; 98.4;089.54400000000000000000 
9.8-1.0
DHFR; 153.12356979405035; 148.28644501278774; 116.45217391304348; 148.55242966751916; 150.4830917874396; 151.66666666666666; 155.2; 136.75703324808185; 145.33695652173913; 150.9903381642512;0145.68487047755791700000 
MTR1A_Agonist; 98.4; 127.92; 137.76; 157.44; 167.28; 118.08; 157.44; 147.6; 118.08; 147.6;0137.76000000000000000000 
MTR1B_Agonist; 147.6; 108.24000000000001; 147.6; 98.4; 127.92; 127.92; 167.28; 147.6; 147.6; 147.6;0136.77600000000000100000 
P38; 156.288; 160.75294117647059; 175.788; 175.68; 156.06400000000002; 185.364; 154.07368421052632; 133.66736842105263; 160.75294117647059; 184.24222222222224;0164.26731572067423900000 
V2R_Antagonist; 177.12; 167.28; 196.8; 177.12; 196.8; 177.12; 177.12; 177.12; 196.8; 177.12;0182.04000000000000000000 
